	mntsa0	mntsa1	mntsa2	mntsa3	mntsa4	exps0	exps1	exps2	exps3	exps4
53	0.5674999952316284	0.7350000143051147	0.8475000262260437	0.9700000286102295	0.6100000143051147	3	3	3	2	2
54	0.7350000143051147	0.8475000262260437	0.9700000286102295	0.6100000143051147	0.7549999952316284	3	3	2	2	2
55	0.8475000262260437	0.9700000286102295	0.6100000143051147	0.7549999952316284	0.6424999833106995	3	2	2	2	3
56	0.9700000286102295	0.6100000143051147	0.7549999952316284	0.6424999833106995	0.6800000071525574	2	2	2	3	2
57	0.6100000143051147	0.7549999952316284	0.6424999833106995	0.6800000071525574	0.5899999737739563	2	2	3	2	5
58	0.7549999952316284	0.6424999833106995	0.6800000071525574	0.5899999737739563	0.9850000143051147	2	3	2	5	2
59	0.6424999833106995	0.6800000071525574	0.5899999737739563	0.9850000143051147	0.8849999904632568	3	2	5	2	2
60	0.6800000071525574	0.5899999737739563	0.9850000143051147	0.8849999904632568	0.637499988079071	2	5	2	2	4
61	0.5899999737739563	0.9850000143051147	0.8849999904632568	0.637499988079071	0.5387499928474426	5	2	2	4	4
62	0.9850000143051147	0.8849999904632568	0.637499988079071	0.5387499928474426	0.8299999833106995	2	2	4	4	2
63	0.8849999904632568	0.637499988079071	0.5387499928474426	0.8299999833106995	0.5024999976158142	2	4	4	2	3
64	0.637499988079071	0.5387499928474426	0.8299999833106995	0.5024999976158142	0.6349999904632568	4	4	2	3	2
65	0.5387499928474426	0.8299999833106995	0.5024999976158142	0.6349999904632568	0.699999988079071	4	2	3	2	2
66	0.8299999833106995	0.5024999976158142	0.6349999904632568	0.699999988079071	0.925000011920929	2	3	2	2	2
67	0.5024999976158142	0.6349999904632568	0.699999988079071	0.925000011920929	0.6987500190734863	3	2	2	2	5
68	0.6349999904632568	0.699999988079071	0.925000011920929	0.6987500190734863	0.5049999952316284	2	2	2	5	2
69	0.699999988079071	0.925000011920929	0.6987500190734863	0.5049999952316284	0.949999988079071	2	2	5	2	2
70	0.925000011920929	0.6987500190734863	0.5049999952316284	0.949999988079071	0.5649999976158142	2	5	2	2	2
71	0.6987500190734863	0.5049999952316284	0.949999988079071	0.5649999976158142	0.762499988079071	5	2	2	2	3
72	0.5049999952316284	0.949999988079071	0.5649999976158142	0.762499988079071	0.7850000262260437	2	2	2	3	2
