time,numbers
18:53,1.08
18:53,1.46
18:53,1.46
18:53,3.91
18:53,2.03
18:53,4.03
18:53,13.18
18:53,2.15
18:53,1.22
18:53,1.05
18:53,1.85
18:53,1.29
18:53,1.15
18:53,1.11
18:53,7.9
18:53,2.06
18:53,1
18:53,4.18
18:53,1.47
18:53,1.46
18:53,1
18:53,1.18
18:53,2.04
18:53,1.41
18:53,108.45
18:53,1.98
18:53,1.37
18:53,2.66
18:53,5
18:53,2.3
18:53,1.38
18:53,15.1
18:53,4.44
18:53,1.15
18:53,1.08
18:53,1.19
18:53,1.16
18:53,2.3
18:53,35.78
18:53,2.65
19:13,4.05
19:13,1.09
19:13,5.13
19:13,1.17
19:13,2.41
19:13,3.39
19:13,1.67
19:13,1
19:13,1.82
19:13,5.31
19:13,1.74
19:13,2.11
19:13,1.69
19:13,2.34
19:13,1.58
19:13,1.93
19:13,3.4
19:13,5.37
19:13,1.56
19:13,3.83
19:13,1.76
19:13,5.15
19:13,1.41
19:13,4.26
19:13,1.05
19:13,1.37
19:13,1.01
19:13,2.14
19:13,4.4
19:13,26.71
19:28,15.03
19:28,6.15
19:28,1.73
19:28,1.01
19:28,2.32
19:28,6.31
19:28,1.22
19:28,1.23
19:28,3.05
19:28,22.57
19:28,8.47
19:28,1.38
19:28,3.5
19:28,3.86
19:28,2.37
19:28,1
19:28,1.64
19:28,1.58
19:28,11.75
19:28,3.29
19:28,2.47
19:28,1.36
19:28,2.62
19:28,2.5
19:28,1
19:28,1.99
19:28,1.27
19:28,1.6
19:28,155.64
19:28,9.49
19:28,2.76
19:28,2.31
19:28,34.18
19:28,1
19:28,9.17
19:28,4.42
19:28,4.83
19:28,1.04
19:28,1.35
19:28,2.7
19:28,1
19:28,2.14
19:28,3.16
19:52,1.88
19:52,1.5
19:52,38.9
19:52,2.28
19:52,1.49
19:52,97.03
19:52,9.67
19:52,1.56
19:52,1.57
19:52,6.55
19:52,1.54
19:52,1.1
19:52,1.02
19:52,5.74
19:52,1.43
19:52,1
19:52,1.47
19:52,1
19:52,3.78
19:52,7.88
19:52,4.2
19:52,3.4
19:52,3.93
19:52,1.12
19:52,1.96
19:52,11.59
19:52,5.64
19:52,1.04
19:52,2.95
19:52,3.34
19:52,3.27
19:52,4.62
19:52,1.53
19:52,1.59
19:52,4.25
19:52,7.62
19:52,1.4
19:52,1.45
19:52,1
19:52,2.79
19:52,1.08
19:52,2.1
19:52,7.69
20:17,1
